round,val_auprc,val_f1,val_precision,val_recall,train_loss
1,0.6123256121690671,0.7466666666666667,0.7368421052631579,0.7567567567567568,
2,0.6584113123980938,0.7466666666666667,0.7368421052631579,0.7567567567567568,
3,0.6722732468007486,0.7432432432432432,0.7432432432432432,0.7432432432432432,
4,0.6823189080976326,0.7482993197278912,0.7534246575342466,0.7432432432432432,
5,0.7175482009659852,0.75177304964539,0.7910447761194029,0.7162162162162162,
6,0.661996120200171,0.7428571428571429,0.7878787878787878,0.7027027027027027,
7,0.6796090097416551,0.7299270072992701,0.7936507936507936,0.6756756756756757,
8,0.6886341843505814,0.7368421052631579,0.717948717948718,0.7567567567567568,
9,0.679388246662743,0.7432432432432432,0.7432432432432432,0.7432432432432432,
10,0.7410681430040753,0.7375886524822695,0.7761194029850746,0.7027027027027027,
11,0.7261988993612012,0.7482993197278912,0.7534246575342466,0.7432432432432432,
12,0.717299433247435,0.78125,0.9259259259259259,0.6756756756756757,
13,0.7228004261517635,0.7874015748031497,0.9433962264150944,0.6756756756756757,
14,0.7339220700886421,0.7605633802816901,0.7941176470588235,0.7297297297297297,
15,0.7621868112476867,0.8175182481751825,0.8888888888888888,0.7567567567567568,
16,0.7449733910951555,0.7669172932330827,0.864406779661017,0.6891891891891891,
17,0.7450693632612687,0.7751937984496124,0.9090909090909091,0.6756756756756757,
18,0.7490307989283589,0.8059701492537313,0.9,0.7297297297297297,
19,0.7772350540084086,0.8148148148148148,0.9016393442622951,0.7432432432432432,
20,0.7358493529791051,0.7913669064748201,0.8461538461538461,0.7432432432432432,
