round,val_auprc,val_f1,val_precision,val_recall,train_loss
1,0.6322483472791025,0.75,0.7307692307692307,0.7702702702702703,
2,0.6313105277726031,0.76,0.75,0.7702702702702703,
3,0.7038489201913026,0.762589928057554,0.8153846153846154,0.7162162162162162,
4,0.580867131034132,0.7682119205298014,0.7532467532467533,0.7837837837837838,
5,0.743753571494827,0.7564102564102564,0.7195121951219512,0.7972972972972973,
6,0.6295902625740336,0.7448275862068966,0.7605633802816901,0.7297297297297297,
7,0.5938349485740753,0.75,0.7714285714285715,0.7297297297297297,
8,0.6072348478116569,0.7651006711409396,0.76,0.7702702702702703,
9,0.6061415894947146,0.75,0.7307692307692307,0.7702702702702703,
10,0.6182521646838839,0.7534246575342466,0.7638888888888888,0.7432432432432432,
11,0.687417927193238,0.7567567567567568,0.7567567567567568,0.7567567567567568,
12,0.6392562016642279,0.7692307692307693,0.7971014492753623,0.7432432432432432,
13,0.7246603385473877,0.7682119205298014,0.7532467532467533,0.7837837837837838,
14,0.6348750277040763,0.7619047619047619,0.7671232876712328,0.7567567567567568,
15,0.6697483876450596,0.7631578947368421,0.7435897435897436,0.7837837837837838,
16,0.6956152089899766,0.7612903225806451,0.7283950617283951,0.7972972972972973,
17,0.7109400514735608,0.7564102564102564,0.7195121951219512,0.7972972972972973,
18,0.7296789487209422,0.7631578947368421,0.7435897435897436,0.7837837837837838,
19,0.6633272159482855,0.7612903225806451,0.7283950617283951,0.7972972972972973,
20,0.6949845817062872,0.7712418300653595,0.7468354430379747,0.7972972972972973,
