round,val_auprc,val_f1,val_precision,val_recall,train_loss
1,0.5973941660098103,0.75,0.7307692307692307,0.7702702702702703,
2,0.6112114512272697,0.7483870967741936,0.7160493827160493,0.7837837837837838,
3,0.6508548165415255,0.7515923566878981,0.7108433734939759,0.7972972972972973,
4,0.6744990313856163,0.7712418300653595,0.7468354430379747,0.7972972972972973,
5,0.6247518385623569,0.7567567567567568,0.7567567567567568,0.7567567567567568,
6,0.6070858685380255,0.76,0.75,0.7702702702702703,
7,0.6404645239711911,0.7643312101910829,0.7228915662650602,0.8108108108108109,
8,0.6633788118603554,0.7712418300653595,0.7468354430379747,0.7972972972972973,
9,0.6977270570075732,0.7612903225806451,0.7283950617283951,0.7972972972972973,
10,0.6698718017494687,0.7712418300653595,0.7468354430379747,0.7972972972972973,
11,0.6742397384023482,0.7631578947368421,0.7435897435897436,0.7837837837837838,
12,0.6568015624975047,0.7662337662337663,0.7375,0.7972972972972973,
13,0.7081587343433686,0.7651006711409396,0.76,0.7702702702702703,
14,0.7545422426583288,0.7712418300653595,0.7468354430379747,0.7972972972972973,
15,0.7586108523950628,0.7763157894736842,0.7564102564102564,0.7972972972972973,
16,0.7466570348018874,0.7763157894736842,0.7564102564102564,0.7972972972972973,
17,0.7613863628316629,0.7733333333333333,0.7631578947368421,0.7837837837837838,
18,0.7391633614549058,0.7631578947368421,0.7435897435897436,0.7837837837837838,
19,0.7375748404299659,0.7712418300653595,0.7468354430379747,0.7972972972972973,
20,0.7471896498602941,0.7712418300653595,0.7468354430379747,0.7972972972972973,
