feature,client_0,mean
step,0.0552172,0.0552172
amount,0.160791,0.160791
oldbalanceOrg,0.0423302,0.0423302
newbalanceOrig,0.167571,0.167571
oldbalanceDest,0.0287628,0.0287628
newbalanceDest,0.00039769,0.00039769
errorBalanceOrig,0.354695,0.354695
errorBalanceDest,0.0689121,0.0689121
type_CASH_IN,0.661791,0.661791
type_CASH_OUT,0.324737,0.324737
type_DEBIT,0.00885563,0.00885563
type_PAYMENT,0.238096,0.238096
type_TRANSFER,0.169886,0.169886
