feature,client_0,mean
step,0.0886945,0.0886945
amount,0.325965,0.325965
oldbalanceOrg,0.0125394,0.0125394
newbalanceOrig,0.219038,0.219038
oldbalanceDest,0.0396699,0.0396699
newbalanceDest,0.00289062,0.00289062
errorBalanceOrig,0.599501,0.599501
errorBalanceDest,0.242789,0.242789
type_CASH_IN,1.44569,1.44569
type_CASH_OUT,0.738478,0.738478
type_DEBIT,0.0761656,0.0761656
type_PAYMENT,0.513279,0.513279
type_TRANSFER,0.226436,0.226436
