feature,client_0_s11,client_0_s22,mean
step,0.343393,0.343393,0.343393
amount,1.91501,1.91501,1.91501
oldbalanceOrg,0.526477,0.526477,0.526477
newbalanceOrig,1.41901,1.41901,1.41901
oldbalanceDest,1.44592,1.44592,1.44592
newbalanceDest,5.30608,5.30608,5.30608
errorBalanceOrig,5.31455,5.31455,5.31455
errorBalanceDest,0.611879,0.611879,0.611879
type,4.24048,4.24048,4.24048
