round,val_auprc,val_f1,val_precision,val_recall,train_loss
1,0.15979361539449777,0.23976293103448276,0.21633446767136608,0.2688821752265861,
2,0.16471428956303644,0.2435723951285521,0.22058823529411764,0.2719033232628399,
3,0.1663267837972795,0.24582154795577268,0.21396598030438674,0.28882175226586104,
4,0.16688808326246712,0.2441361916771753,0.20952380952380953,0.29244712990936556,
5,0.16176168827912196,0.2394711067580803,0.20131741457389873,0.29546827794561936,
6,0.16843949380900053,0.24483847461743988,0.20471161657189277,0.30453172205438067,
7,0.16975518254436697,0.23935500125976317,0.2052722558340536,0.28700906344410876,
8,0.16813293287885345,0.24313926647858425,0.21122994652406418,0.286404833836858,
9,0.16892988200630665,0.24420086668366045,0.21119929453262787,0.2894259818731118,
10,0.16870666079659208,0.24216524216524216,0.22911051212938005,0.256797583081571,
11,0.17006896168863617,0.24127617148554337,0.20534577853203226,0.29244712990936556,
12,0.16982185111464873,0.24452954048140044,0.22338830584707647,0.2700906344410876,
13,0.16304317471032254,0.24173499074318963,0.2149576669802446,0.27613293051359517,
14,0.16655275529197594,0.2472959685349066,0.20845420638209697,0.3039274924471299,
15,0.1646378030486202,0.24364123159303883,0.21875,0.27492447129909364,
16,0.16493565183202463,0.24170255890549786,0.2081151832460733,0.2882175226586103,
17,0.16740178375136566,0.24226230238254287,0.1918194640338505,0.3287009063444109,
18,0.1578779415314941,0.2399781838014726,0.21868787276341947,0.26586102719033233,
19,0.1613094117222558,0.24650912996777657,0.22184630256162396,0.2773413897280967,
20,0.16456667870709402,0.244064334950217,0.21131741821396993,0.28882175226586104,
