feature,client_0,mean
step,0.0187542,0.0187542
amount,0.173168,0.173168
oldbalanceOrg,0.0177005,0.0177005
newbalanceOrig,0.213179,0.213179
oldbalanceDest,0.0544494,0.0544494
newbalanceDest,0.0530424,0.0530424
errorBalanceOrig,1.04241,1.04241
errorBalanceDest,0.0456749,0.0456749
type_CASH_IN,0.189705,0.189705
type_CASH_OUT,0.0227467,0.0227467
type_DEBIT,0.0151325,0.0151325
type_PAYMENT,1.00106,1.00106
type_TRANSFER,0.0968142,0.0968142
