round,val_auprc,val_f1,val_precision,val_recall,train_loss
1,0.0006672149174846709,0.0025784308090806007,0.0012908795615658164,1.0,
2,0.0006697054486721754,0.002585760783404112,0.0012945540947839618,1.0,
3,0.023271547630429268,0.12180595844984055,0.07978857308626175,0.25730520486831665,
4,0.7603493928909302,0.9035608172416687,0.8319672346115112,0.9886363744735718,
5,0.9610198736190796,0.9447470903396606,0.9073243737220764,0.9853895902633667,
6,0.9958654046058655,0.994331955909729,0.9919224381446838,0.9967532753944397,
7,0.9962806701660156,0.9967532753944397,0.9967532753944397,0.9967532753944397,
8,0.9967586994171143,0.9983739852905273,1.0,0.9967532753944397,
9,0.9967588782310486,0.9983739852905273,1.0,0.9967532753944397,
10,0.993859589099884,0.9894992113113403,0.9847266674041748,0.9943181872367859,
11,0.9957010746002197,0.9891260862350464,0.9816147089004517,0.9967532753944397,
12,0.9967446327209473,0.9975629448890686,0.9983739852905273,0.9967532753944397,
13,0.9963283538818359,0.9947347044944763,0.9927243590354919,0.9967532753944397,
14,0.996759295463562,0.9983739852905273,1.0,0.9967532753944397,
15,0.9966439008712769,0.9947347044944763,0.9927243590354919,0.9967532753944397,
16,0.9967581033706665,0.9983739852905273,1.0,0.9967532753944397,
17,0.9967489838600159,0.997968316078186,0.9991863369941711,0.9967532753944397,
18,0.9960843324661255,0.9931034445762634,0.9927007555961609,0.9935064911842346,
19,0.9967583417892456,0.9983739852905273,1.0,0.9967532753944397,
20,0.9955293536186218,0.9894906878471375,0.9855072498321533,0.9935064911842346,
