round,val_auprc,val_f1,val_precision,val_recall,train_loss
1,0.5783798249266374,0.6166666666666667,0.7784653465346535,0.510551948051948,
2,0.6338996291036932,0.6382153249272551,0.7927710843373494,0.5340909090909091,
3,0.5950763937849,0.6051873198847262,0.7411764705882353,0.5113636363636364,
4,0.6084901531771911,0.6125874125874126,0.71960569550931,0.5332792207792207,
5,0.6157331429698877,0.615890926187118,0.7318435754189944,0.5316558441558441,
6,0.6229333593172027,0.6223506743737958,0.7654028436018957,0.5243506493506493,
7,0.6248887334106826,0.6237385872176838,0.7644287396937574,0.5267857142857143,
8,0.6236073936920521,0.6240671641791045,0.7335526315789473,0.5430194805194806,
9,0.6277297158633262,0.6248189280540801,0.7711561382598331,0.5251623376623377,
10,0.6306711101227962,0.6286266924564797,0.777511961722488,0.5275974025974026,
11,0.6196188800280086,0.6299137104506232,0.7693208430913349,0.5332792207792207,
12,0.6237962055619208,0.6293706293706294,0.7393209200438116,0.5478896103896104,
13,0.6162380910011119,0.6312713102776425,0.7892813641900122,0.525974025974026,
14,0.6212275907177216,0.6298607777244359,0.7708578143360753,0.5324675324675324,
15,0.6244413561045696,0.630098452883263,0.7458379578246392,0.5454545454545454,
16,0.6129258277336221,0.6313744536182613,0.7859733978234583,0.5275974025974026,
17,0.6185150885281241,0.6302681992337165,0.7686915887850467,0.5340909090909091,
18,0.6111402386383532,0.6298984034833092,0.7796407185628742,0.5284090909090909,
19,0.6174375959066203,0.6319883325230918,0.7878787878787878,0.5275974025974026,
20,0.61050804660568,0.6309178743961352,0.779236276849642,0.5300324675324676,
