round,val_auprc,val_f1,val_precision,val_recall,train_loss
1,0.5723763992120421,0.6163081540770385,0.803129074315515,0.5,
2,0.6247947102376051,0.6349206349206349,0.8163265306122449,0.5194805194805194,
3,0.6296560639445596,0.6306306306306306,0.758266818700114,0.5397727272727273,
4,0.6020211407218907,0.6042595344229816,0.7750952986022872,0.49512987012987014,
5,0.6091444121373496,0.6095519448547514,0.7747183979974969,0.502435064935065,
6,0.6133791642038048,0.6118898018366361,0.7562724014336918,0.5137987012987013,
7,0.6086450448422409,0.616969102501226,0.7794299876084263,0.510551948051948,
8,0.6145767260633248,0.6180620884289746,0.7348993288590604,0.5332792207792207,
9,0.6171743620340497,0.6179721287842384,0.7573616018845701,0.5219155844155844,
10,0.605959017662457,0.6171213546566322,0.7337807606263982,0.5324675324675324,
11,0.6130758332771461,0.6185056902523504,0.7921419518377694,0.5073051948051948,
12,0.6162802588453178,0.6193548387096774,0.7164179104477612,0.5454545454545454,
13,0.6045031004060994,0.6246973365617433,0.7743097238895558,0.523538961038961,
14,0.6106609950268267,0.6222010481181515,0.7531718569780853,0.5300324675324676,
15,0.6150187299512797,0.6222851746931067,0.7437923250564334,0.5349025974025974,
16,0.6043893181416868,0.6238003838771593,0.7629107981220657,0.5275974025974026,
17,0.6107588503230715,0.6223709369024857,0.7569767441860465,0.5284090909090909,
18,0.602299588770288,0.6239067055393586,0.7772397094430993,0.5211038961038961,
19,0.6094970500884143,0.6249393498301795,0.7768395657418576,0.5227272727272727,
20,0.615012138178555,0.6257197696737045,0.7652582159624414,0.5292207792207793,
