feature,client_0_s11,client_0_s22,mean
step,0.0418096,0.0418096,0.0418096
amount,0.0715172,0.0715172,0.0715172
oldbalanceOrg,0.0470222,0.0470222,0.0470222
newbalanceOrig,0.376732,0.376732,0.376732
oldbalanceDest,0.0145337,0.0145337,0.0145337
newbalanceDest,0.0376107,0.0376107,0.0376107
errorBalanceOrig,0.194825,0.194825,0.194825
errorBalanceDest,0.0903948,0.0903948,0.0903948
type,2.21591,2.21591,2.21591
