feature,client_0,mean
step,0.0377688,0.0377688
amount,0.0799288,0.0799288
oldbalanceOrg,0.0442557,0.0442557
newbalanceOrig,0.432119,0.432119
oldbalanceDest,0.0389321,0.0389321
newbalanceDest,0.0395869,0.0395869
errorBalanceOrig,0.581623,0.581623
errorBalanceDest,0.0586818,0.0586818
type_CASH_IN,0.00297509,0.00297509
type_CASH_OUT,0.0437269,0.0437269
type_DEBIT,0.00109631,0.00109631
type_PAYMENT,0.167518,0.167518
type_TRANSFER,0.122517,0.122517
