round,val_auprc,val_f1,val_precision,val_recall,train_loss
1,0.6845456285879575,0.7031175059952038,0.8593200468933178,0.5949675324675324,
2,0.7386978745346882,0.7411930483795209,0.8795986622073578,0.640422077922078,
3,0.7647268617420799,0.7593283582089553,0.8925438596491229,0.6607142857142857,
4,0.7819355172055884,0.769890424011434,0.9319492502883506,0.6558441558441559,
5,0.7958909200937347,0.781092244148692,0.8986272439281943,0.6907467532467533,
6,0.8048015644143451,0.7857802400738689,0.911134903640257,0.6907467532467533,
7,0.8119442171198967,0.7887970615243343,0.9080338266384778,0.6972402597402597,
8,0.8187916787137568,0.791268758526603,0.8996897621509824,0.7061688311688312,
9,0.8240780065781281,0.7965169569202566,0.9147368421052632,0.7053571428571429,
10,0.8288506925165415,0.7985246657445828,0.9242262540021344,0.702922077922078,
11,0.8337183072176645,0.8007329363261567,0.9190325972660357,0.7094155844155844,
12,0.8370129803898199,0.8021680216802168,0.9042769857433809,0.7207792207792207,
13,0.8423458967435871,0.8034265103697025,0.9036511156186613,0.7232142857142857,
14,0.8452913185344734,0.8048670572329878,0.9047619047619048,0.7248376623376623,
15,0.8488870102249687,0.8054176072234763,0.9074262461851476,0.724025974025974,
16,0.8518158679730269,0.8081081081081081,0.9078947368421053,0.7280844155844156,
17,0.8527886634016846,0.8098375054896794,0.8822966507177034,0.7483766233766234,
18,0.8552240086276612,0.8113785557986871,0.8803418803418803,0.752435064935065,
19,0.8568037293953373,0.8139737991266376,0.8809073724007561,0.7564935064935064,
20,0.8575501363538945,0.8134263295553618,0.8785310734463276,0.7573051948051948,
