round,val_auprc,val_f1,val_precision,val_recall,train_loss
1,0.4439658777928003,0.5379081350304372,0.8452173913043478,0.3944805194805195,
2,0.569709287782283,0.6290650406504065,0.8410326086956522,0.502435064935065,
3,0.6274089063410303,0.6673469387755102,0.8983516483516484,0.5308441558441559,
4,0.6598941488875664,0.6951102588686481,0.8489461358313818,0.588474025974026,
5,0.6842198242887274,0.7116682738669238,0.8764845605700713,0.599025974025974,
6,0.7027753878582488,0.7197231833910035,0.9203539823008849,0.5909090909090909,
7,0.7157349460623754,0.725594949004371,0.9032648125755743,0.6063311688311688,
8,0.7255027852395551,0.7335541883577852,0.8796821793416572,0.6290584415584416,
9,0.7335808589420357,0.7427502338634238,0.8763796909492274,0.6444805194805194,
10,0.7403052749993954,0.7475317348377997,0.888268156424581,0.6452922077922078,
11,0.7463839766528714,0.7522501184272856,0.9032992036405005,0.6444805194805194,
12,0.7522027966277212,0.7565758010521282,0.9208381839348079,0.6420454545454546,
13,0.7571301991016374,0.7599425011978918,0.927485380116959,0.6436688311688312,
14,0.7614227973730227,0.760806916426513,0.9317647058823529,0.6428571428571429,
15,0.7651129485389996,0.7621335896203748,0.934040047114252,0.6436688311688312,
16,0.7685499576404912,0.7652582159624414,0.9075723830734966,0.661525974025974,
17,0.7715711504139712,0.7667910447761194,0.9013157894736842,0.6672077922077922,
18,0.7745227147759722,0.7690857681432611,0.9168539325842696,0.6623376623376623,
19,0.777322279466335,0.7707362534948742,0.9048140043763676,0.6712662337662337,
20,0.7799760309226865,0.7726001863932899,0.9070021881838074,0.6728896103896104,
