round,val_auprc,val_f1,val_precision,val_recall,train_loss
1,0.11443259504238368,0.19433198380566802,0.1671745755333043,0.23202416918429003,
2,0.12961616491863692,0.2042491549975857,0.1700844390832328,0.2555891238670695,
3,0.1253199086182104,0.19256110520722636,0.14852459016393443,0.2737160120845921,
4,0.10305012582731557,0.16962283384301732,0.128,0.2513595166163142,
5,0.07530451222058315,0.14103923647932132,0.0996752435673245,0.24108761329305137,
6,0.060082180346904566,0.12004175365344467,0.0842902516491571,0.2084592145015106,
7,0.05034525333132983,0.10407168684169156,0.07033574160645983,0.2,
8,0.04519166678719989,0.09595249257696516,0.0647133220910624,0.18549848942598188,
9,0.0441264692856136,0.09370816599732262,0.062154696132596686,0.1903323262839879,
10,0.043512631361716014,0.09277566539923954,0.061991869918699184,0.18429003021148035,
11,0.0431634845579407,0.09268545737506484,0.06492248062015504,0.1619335347432024,
12,0.04315390878943903,0.09428571428571429,0.06692015209125475,0.1595166163141994,
13,0.04312372538658885,0.09425728748472682,0.0662739322533137,0.16314199395770393,
14,0.04357023114240478,0.09493161705551086,0.06469298245614036,0.1782477341389728,
15,0.04430191650770807,0.09558823529411764,0.06606606606606606,0.172809667673716,
16,0.04432619880254904,0.09629752614975925,0.06639194139194139,0.17522658610271905,
17,0.04465103970728917,0.0966183574879227,0.06761651774933591,0.1691842900302115,
18,0.044820335270603494,0.09649749821300929,0.06851053032225324,0.16314199395770393,
19,0.04539365881093104,0.09762247838616715,0.0695406723120349,0.1637462235649547,
20,0.04585515898695781,0.09749052175482939,0.06951596292481978,0.16314199395770393,
