run_name,dataset,model,smote_arm,condition,alpha,seed,status,exit_code,wall_seconds,smote_inoperative,sub6_count,data_hash,partition_hash,rounds_completed,rounds_configured,aggregation,log
paysim_no-smote_iid_gbm_ana_s42,paysim,gbm,no-smote,iid,,42,success,0,249.5,False,0,dd257865dfff5b8fbbd7db8558d2ffd74b5ca30eb09a013886c52349f35e9fa5,bca1e67969caa7a806e137f6f73387ccbbc9421d6ef1609b17d15af8c05a8367,20,20,best-model-selection,results/sweep/paysim_no-smote_iid_gbm_ana_s42/run.log
paysim_no-smote_noniid_gbm_a0.5_s42,paysim,gbm,no-smote,noniid,0.5,42,success,0,359.8,False,2,dd257865dfff5b8fbbd7db8558d2ffd74b5ca30eb09a013886c52349f35e9fa5,09ff2c0d5af4f6c67a18c74b29d039de3d77792c9982884d2097585e32c2e7de,20,20,best-model-selection,results/sweep/paysim_no-smote_noniid_gbm_a0.5_s42/run.log
paysim_smote_iid_fedxgbllr_ana_s42,paysim,fedxgbllr,smote,iid,,42,failed_no_artifact,0,213.2,False,0,dd257865dfff5b8fbbd7db8558d2ffd74b5ca30eb09a013886c52349f35e9fa5,bca1e67969caa7a806e137f6f73387ccbbc9421d6ef1609b17d15af8c05a8367,14,50,tree-ensemble+CNN-FedAvg,results/sweep/paysim_smote_iid_fedxgbllr_ana_s42/run.log
paysim_smote_noniid_fedxgbllr_a0.5_s42,paysim,fedxgbllr,smote,noniid,0.5,42,failed_no_artifact,0,243.6,False,2,dd257865dfff5b8fbbd7db8558d2ffd74b5ca30eb09a013886c52349f35e9fa5,09ff2c0d5af4f6c67a18c74b29d039de3d77792c9982884d2097585e32c2e7de,20,50,tree-ensemble+CNN-FedAvg,results/sweep/paysim_smote_noniid_fedxgbllr_a0.5_s42/run.log
paysim_no-smote_iid_fedxgbllr_ana_s42,paysim,fedxgbllr,no-smote,iid,,42,failed_no_artifact,0,213.4,False,0,dd257865dfff5b8fbbd7db8558d2ffd74b5ca30eb09a013886c52349f35e9fa5,bca1e67969caa7a806e137f6f73387ccbbc9421d6ef1609b17d15af8c05a8367,13,50,tree-ensemble+CNN-FedAvg,results/sweep/paysim_no-smote_iid_fedxgbllr_ana_s42/run.log
paysim_no-smote_noniid_fedxgbllr_a0.5_s42,paysim,fedxgbllr,no-smote,noniid,0.5,42,failed_no_artifact,0,252.9,False,2,dd257865dfff5b8fbbd7db8558d2ffd74b5ca30eb09a013886c52349f35e9fa5,09ff2c0d5af4f6c67a18c74b29d039de3d77792c9982884d2097585e32c2e7de,14,50,tree-ensemble+CNN-FedAvg,results/sweep/paysim_no-smote_noniid_fedxgbllr_a0.5_s42/run.log
baf_smote_noniid_fedxgbllr_a0.5_s42,baf,fedxgbllr,smote,noniid,0.5,42,success,0,3499.2,False,0,b3e0d335cd39bbe7ced91080d29d65cd5d313ecfe63c40abda3ce9248d518b0b,2a1e43d2c0e3b2d5e364c97aa6701742e9100c91e782105da4381e85c440a098,22,50,tree-ensemble+CNN-FedAvg,results/sweep/baf_smote_noniid_fedxgbllr_a0.5_s42/run.log
baf_no-smote_noniid_fedxgbllr_a0.5_s42,baf,fedxgbllr,no-smote,noniid,0.5,42,success,0,5775.4,False,0,b3e0d335cd39bbe7ced91080d29d65cd5d313ecfe63c40abda3ce9248d518b0b,2a1e43d2c0e3b2d5e364c97aa6701742e9100c91e782105da4381e85c440a098,37,50,tree-ensemble+CNN-FedAvg,results/sweep/baf_no-smote_noniid_fedxgbllr_a0.5_s42/run.log
paysim_smote_iid_fedxgbllr_ana_s42,paysim,fedxgbllr,smote,iid,,42,success,0,5517.4,False,0,dd257865dfff5b8fbbd7db8558d2ffd74b5ca30eb09a013886c52349f35e9fa5,bca1e67969caa7a806e137f6f73387ccbbc9421d6ef1609b17d15af8c05a8367,14,50,tree-ensemble+CNN-FedAvg,results/sweep/paysim_smote_iid_fedxgbllr_ana_s42/run.log
paysim_smote_noniid_fedxgbllr_a0.5_s42,paysim,fedxgbllr,smote,noniid,0.5,42,success,0,6888.5,False,2,dd257865dfff5b8fbbd7db8558d2ffd74b5ca30eb09a013886c52349f35e9fa5,09ff2c0d5af4f6c67a18c74b29d039de3d77792c9982884d2097585e32c2e7de,20,50,tree-ensemble+CNN-FedAvg,results/sweep/paysim_smote_noniid_fedxgbllr_a0.5_s42/run.log
paysim_no-smote_iid_fedxgbllr_ana_s42,paysim,fedxgbllr,no-smote,iid,,42,success,0,5186.0,False,0,dd257865dfff5b8fbbd7db8558d2ffd74b5ca30eb09a013886c52349f35e9fa5,bca1e67969caa7a806e137f6f73387ccbbc9421d6ef1609b17d15af8c05a8367,13,50,tree-ensemble+CNN-FedAvg,results/sweep/paysim_no-smote_iid_fedxgbllr_ana_s42/run.log
paysim_no-smote_noniid_fedxgbllr_a0.5_s42,paysim,fedxgbllr,no-smote,noniid,0.5,42,success,0,4865.5,False,2,dd257865dfff5b8fbbd7db8558d2ffd74b5ca30eb09a013886c52349f35e9fa5,09ff2c0d5af4f6c67a18c74b29d039de3d77792c9982884d2097585e32c2e7de,14,50,tree-ensemble+CNN-FedAvg,results/sweep/paysim_no-smote_noniid_fedxgbllr_a0.5_s42/run.log
