dataset,model,condition,arm,bg,explainer,deterministic,n_clients,manifest_sha256,data_hash,partition_hash,spearman,jaccard_at5,kuncheva,floor_mean,floor_min,between_mean,between_sd,delta,p_value,p_adj,n_matchings,disattenuated,weighted_between,weighted_within,max_nonzero_per_row,seed_delta_max,status,verdict,top_feature,note
paysim,fedxgbllr,iid,none,local,kernel-exact-grouped,True,5,d5795556729339f6,dd257865dfff5b8f,bca1e67969caa7a8,0.9933,1.0,1.0,1.0,1.0,0.9933,0.0084,0.0067,0.1111,0.1111,945,0.9933,1.0,1.0,9,0.0,ok,noise_limited,errorBalanceOrig,
paysim,fedxgbllr,iid,none,shared,kernel,False,5,d5795556729339f6,dd257865dfff5b8f,bca1e67969caa7a8,0.9082,0.7429,0.74,0.9736,0.9451,0.9082,0.0554,0.0654,0.0032,0.0055,945,0.9328,0.8925,0.9921,13,undefined,ok,clients_differ,errorBalanceOrig,
paysim,fedxgbllr,iid,smote,local,kernel,False,5,1d603e74e857ffcf,dd257865dfff5b8f,bca1e67969caa7a8,0.956,0.8,0.805,0.9989,0.9945,0.956,0.0285,0.0429,0.0011,0.0015,945,0.9571,0.9482,0.9996,13,undefined,ok,clients_differ,errorBalanceOrig,
paysim,fedxgbllr,iid,smote,local,kernel-exact-grouped,True,5,1d603e74e857ffcf,dd257865dfff5b8f,bca1e67969caa7a8,0.955,1.0,1.0,1.0,1.0,0.955,0.0316,0.045,0.0011,0.0019,945,0.955,0.961,1.0,9,0.0,ok,clients_differ,errorBalanceOrig,
paysim,fedxgbllr,iid,smote,shared,kernel,False,5,1d603e74e857ffcf,dd257865dfff5b8f,bca1e67969caa7a8,0.9791,0.8667,0.87,0.9989,0.9945,0.9791,0.0092,0.0198,0.0011,0.0055,945,0.9802,0.9835,0.9998,13,undefined,ok,clients_differ,amount,
paysim,ffd,centralized,none,local,kernel,False,1,2442e7fa4ef3e25b,dd257865dfff5b8f,n/a (centralized,undefined,undefined,undefined,1.0,1.0,undefined,undefined,undefined,undefined,n/a,0,undefined,undefined,undefined,13,undefined,ok,single_client,newbalanceDest,
paysim,ffd,centralized,none,local,kernel-exact-grouped,True,1,2442e7fa4ef3e25b,dd257865dfff5b8f,n/a (centralized,undefined,undefined,undefined,1.0,1.0,undefined,undefined,undefined,undefined,n/a,0,undefined,undefined,undefined,9,0.0,ok,single_client,errorBalanceOrig,
paysim,ffd,centralized,smote,local,kernel,False,1,9d37fdfbc81e4716,dd257865dfff5b8f,n/a (centralized,undefined,undefined,undefined,0.9835,0.9835,undefined,undefined,undefined,undefined,n/a,0,undefined,undefined,undefined,13,undefined,ok,single_client,newbalanceDest,
paysim,ffd,centralized,smote,local,kernel-exact-grouped,True,1,9d37fdfbc81e4716,dd257865dfff5b8f,n/a (centralized,undefined,undefined,undefined,1.0,1.0,undefined,undefined,undefined,undefined,n/a,0,undefined,undefined,undefined,9,0.0,ok,single_client,errorBalanceOrig,
paysim,ffd,dirichlet,none,local,kernel,False,5,810e32e1bed8527c,dd257865dfff5b8f,09ff2c0d5af4f6c6,0.9374,0.8667,0.87,0.9945,0.9835,0.9374,0.0542,0.0571,0.0011,0.0015,945,0.9425,0.7979,0.9996,13,undefined,ok,clients_differ,type_CASH_IN,
paysim,ffd,dirichlet,none,local,kernel-exact-grouped,True,5,810e32e1bed8527c,dd257865dfff5b8f,09ff2c0d5af4f6c6,0.8867,0.8667,0.82,1.0,1.0,0.8867,0.1192,0.1133,0.0032,0.0038,945,0.8867,0.7979,1.0,9,0.0,ok,clients_differ,errorBalanceOrig,
paysim,ffd,dirichlet,none,shared,kernel,False,5,810e32e1bed8527c,dd257865dfff5b8f,09ff2c0d5af4f6c6,0.9418,0.8667,0.87,0.9901,0.978,0.9418,0.0492,0.0484,0.0021,0.0055,945,0.9512,0.8541,0.9996,13,undefined,ok,clients_differ,errorBalanceOrig,
paysim,ffd,dirichlet,smote,local,kernel,False,5,2c4714daa0689e42,dd257865dfff5b8f,09ff2c0d5af4f6c6,0.9451,0.6952,0.675,0.9934,0.9835,0.9451,0.0563,0.0484,0.0095,0.0108,945,0.9513,0.8859,0.9997,13,undefined,ok,clients_differ,type_CASH_IN,
paysim,ffd,dirichlet,smote,local,kernel-exact-grouped,True,5,2c4714daa0689e42,dd257865dfff5b8f,09ff2c0d5af4f6c6,0.8833,0.8667,0.82,1.0,1.0,0.8833,0.118,0.1167,0.0011,0.0019,945,0.8833,0.8431,1.0,9,0.0,ok,clients_differ,type,
paysim,ffd,dirichlet,smote,shared,kernel,False,5,2c4714daa0689e42,dd257865dfff5b8f,09ff2c0d5af4f6c6,0.9714,1.0,1.0,0.9967,0.9945,0.9714,0.0277,0.0253,0.0063,0.0095,945,0.9746,0.9003,0.9997,13,undefined,ok,clients_differ,type_CASH_IN,
paysim,ffd,iid,none,local,kernel,False,5,29cd2e588d36e7ad,dd257865dfff5b8f,bca1e67969caa7a8,0.9885,1.0,1.0,0.9956,0.9835,0.9885,0.0081,0.0071,0.0011,0.0015,945,0.9928,0.9732,0.9997,13,undefined,ok,clients_differ,newbalanceDest,
paysim,ffd,iid,none,local,kernel-exact-grouped,True,5,29cd2e588d36e7ad,dd257865dfff5b8f,bca1e67969caa7a8,0.9583,0.8667,0.82,1.0,1.0,0.9583,0.0308,0.0417,0.0032,0.0038,945,0.9583,0.8739,1.0,9,0.0,ok,clients_differ,type,
paysim,ffd,iid,none,shared,kernel,False,5,29cd2e588d36e7ad,dd257865dfff5b8f,bca1e67969caa7a8,0.9863,1.0,1.0,0.9923,0.978,0.9863,0.0092,0.006,0.0254,0.0277,945,0.9939,0.9879,0.9925,13,undefined,ok,clients_differ,errorBalanceOrig,
paysim,ffd,iid,smote,local,kernel,False,5,a3709dd0cd429889,dd257865dfff5b8f,bca1e67969caa7a8,0.9723,0.8,0.805,0.9934,0.978,0.9723,0.0123,0.0212,0.0021,0.0026,945,0.9787,0.9307,0.9997,13,undefined,ok,clients_differ,errorBalanceOrig,
paysim,ffd,iid,smote,local,kernel-exact-grouped,True,5,a3709dd0cd429889,dd257865dfff5b8f,bca1e67969caa7a8,0.95,0.8,0.73,1.0,1.0,0.95,0.0265,0.05,0.0011,0.0019,945,0.95,0.9118,1.0,9,0.0,ok,clients_differ,errorBalanceOrig,
paysim,ffd,iid,smote,shared,kernel,False,5,a3709dd0cd429889,dd257865dfff5b8f,bca1e67969caa7a8,0.986,0.8,0.805,0.9868,0.978,0.986,0.0086,0.0008,0.3862,0.3862,945,0.9992,0.9906,0.9994,13,undefined,ok,noise_limited,errorBalanceOrig,
paysim,gbm,centralized,none,local,tree,True,1,81b2fccdfadf37e6,dd257865dfff5b8f,n/a (centralized,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,n/a,0,undefined,undefined,undefined,n/a,0.0,ok,single_client,newbalanceOrig,
paysim,gbm,centralized,smote,local,tree,True,1,126fb8799af5274f,dd257865dfff5b8f,n/a (centralized,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,n/a,0,undefined,undefined,undefined,n/a,0.0,ok,single_client,newbalanceOrig,
paysim,gbm,dirichlet,none,local,tree,True,5,738a0762e496f823,dd257865dfff5b8f,09ff2c0d5af4f6c6,0.9363,0.7667,0.7725,1.0,1.0,0.9363,0.0505,0.0637,undefined,n/a,0,undefined,0.8983,1.0,n/a,0.0,ok,exact_reference,errorBalanceOrig,
paysim,gbm,dirichlet,smote,local,tree,True,5,a9a0d88a31f85cd5,dd257865dfff5b8f,09ff2c0d5af4f6c6,0.9505,0.8667,0.87,1.0,1.0,0.9505,0.0599,0.0495,undefined,n/a,0,undefined,0.9427,1.0,n/a,0.0,ok,exact_reference,errorBalanceOrig,
paysim,gbm,iid,none,local,tree,True,5,74018326d5ce5685,dd257865dfff5b8f,bca1e67969caa7a8,0.9537,1.0,1.0,1.0,1.0,0.9537,0.0303,0.0463,undefined,n/a,0,undefined,0.9787,1.0,n/a,0.0,ok,exact_reference,errorBalanceOrig,
paysim,gbm,iid,smote,local,tree,True,5,62680a7d0e2e5227,dd257865dfff5b8f,bca1e67969caa7a8,0.9956,0.8667,0.87,1.0,1.0,0.9956,0.0035,0.0044,undefined,n/a,0,undefined,0.996,1.0,n/a,0.0,ok,exact_reference,errorBalanceOrig,
paysim,lr,centralized,none,local,linear,True,1,19961dc6a7daae54,dd257865dfff5b8f,n/a (centralized,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,n/a,0,undefined,undefined,undefined,n/a,0.0,ok,single_client,errorBalanceOrig,
paysim,lr,centralized,smote,local,linear,True,1,8efa1933bf50e7ac,dd257865dfff5b8f,n/a (centralized,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,n/a,0,undefined,undefined,undefined,n/a,0.0,ok,single_client,errorBalanceOrig,
paysim,lr,dirichlet,none,local,linear,True,5,ba92cf676378d9ec,dd257865dfff5b8f,09ff2c0d5af4f6c6,0.9286,0.7667,0.7725,1.0,1.0,0.9286,0.057,0.0714,undefined,n/a,0,undefined,0.9064,1.0,n/a,0.0,ok,exact_reference,errorBalanceOrig,
paysim,lr,dirichlet,smote,local,linear,True,5,9e98933a703c3a0f,dd257865dfff5b8f,09ff2c0d5af4f6c6,0.9703,0.7667,0.7725,1.0,1.0,0.9703,0.0194,0.0297,undefined,n/a,0,undefined,0.947,1.0,n/a,0.0,ok,exact_reference,errorBalanceOrig,
paysim,lr,iid,none,local,linear,True,5,682188a111a62fe2,dd257865dfff5b8f,bca1e67969caa7a8,0.9841,0.7333,0.74,1.0,1.0,0.9841,0.0084,0.0159,undefined,n/a,0,undefined,0.9704,1.0,n/a,0.0,ok,exact_reference,errorBalanceOrig,
paysim,lr,iid,smote,local,linear,True,5,f3e82acbc2ff3f28,dd257865dfff5b8f,bca1e67969caa7a8,0.967,0.8667,0.87,1.0,1.0,0.967,0.0155,0.033,undefined,n/a,0,undefined,0.9254,1.0,n/a,0.0,ok,exact_reference,errorBalanceOrig,
paysim,svm,centralized,none,local,linear,True,1,ede77c5357aef8b6,dd257865dfff5b8f,n/a (centralized,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,n/a,0,undefined,undefined,undefined,n/a,0.0,ok,single_client,type_CASH_IN,
paysim,svm,centralized,smote,local,linear,True,1,d10e50fdd6b33d88,dd257865dfff5b8f,n/a (centralized,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,n/a,0,undefined,undefined,undefined,n/a,0.0,ok,single_client,type_CASH_IN,
paysim,svm,dirichlet,none,local,linear,True,5,a2769a4639bd7df3,dd257865dfff5b8f,09ff2c0d5af4f6c6,0.9725,0.8667,0.87,1.0,1.0,0.9725,0.0278,0.0275,undefined,n/a,0,undefined,0.9427,1.0,n/a,0.0,ok,exact_reference,type_CASH_OUT,
paysim,svm,dirichlet,smote,local,linear,True,5,28cb8bfe99e13213,dd257865dfff5b8f,09ff2c0d5af4f6c6,0.9626,0.8667,0.87,1.0,1.0,0.9626,0.042,0.0374,undefined,n/a,0,undefined,0.9009,1.0,n/a,0.0,ok,exact_reference,type_CASH_OUT,
paysim,svm,iid,none,local,linear,True,5,745189cedb725a61,dd257865dfff5b8f,bca1e67969caa7a8,0.9879,1.0,1.0,1.0,1.0,0.9879,0.0068,0.0121,undefined,n/a,0,undefined,0.9496,1.0,n/a,0.0,ok,exact_reference,type_PAYMENT,
paysim,svm,iid,smote,local,linear,True,5,885bfccb4dbdbda2,dd257865dfff5b8f,bca1e67969caa7a8,0.9934,1.0,1.0,1.0,1.0,0.9934,0.0035,0.0066,undefined,n/a,0,undefined,0.9907,1.0,n/a,0.0,ok,exact_reference,type_CASH_OUT,
paysim,xgb,centralized,none,local,tree,True,1,f0eed90cc02c1ad0,dd257865dfff5b8f,n/a (centralized,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,n/a,0,undefined,undefined,undefined,n/a,0.0,ok,single_client,errorBalanceOrig,
paysim,xgb,centralized,smote,local,tree,True,1,87686a33d54ab9ac,dd257865dfff5b8f,n/a (centralized,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,n/a,0,undefined,undefined,undefined,n/a,0.0,ok,single_client,errorBalanceOrig,
