dataset,model,condition,arm,bg,explainer,deterministic,n_clients,manifest_sha256,data_hash,partition_hash,spearman,jaccard_at5,kuncheva,floor_mean,floor_min,between_mean,between_sd,delta,p_value,p_adj,n_matchings,disattenuated,weighted_between,weighted_within,max_nonzero_per_row,seed_delta_max,status,verdict,top_feature,note
baf,svm,dirichlet,none,local,linear,True,5,da8fedfb7eb5f0ea,b3e0d335cd39bbe7,2a1e43d2c0e3b2d5,0.9897,0.8,0.868,1.0,1.0,0.9897,0.0049,0.0103,undefined,n/a,0,undefined,0.9895,1.0,n/a,0.0,ok,exact_reference,prev_address_months_count_missing,
baf,svm,dirichlet,smote,local,linear,True,5,1c4f3f51f325f9bb,b3e0d335cd39bbe7,2a1e43d2c0e3b2d5,0.9663,1.0,1.0,1.0,1.0,0.9663,0.0114,0.0337,undefined,n/a,0,undefined,0.9744,1.0,n/a,0.0,ok,exact_reference,housing_status_BB,
baf,svm,iid,none,local,linear,True,5,6122ddf3b7f66b95,b3e0d335cd39bbe7,cd5b049a3e8a4b5f,0.9082,0.8667,0.912,1.0,1.0,0.9082,0.0762,0.0918,undefined,n/a,0,undefined,0.898,1.0,n/a,0.0,ok,exact_reference,prev_address_months_count_missing,
baf,xgb,centralized,none,local,tree,True,1,8050ba62be1be896,b3e0d335cd39bbe7,n/a (centralized,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,n/a,0,undefined,undefined,undefined,n/a,0.0,ok,single_client,housing_status_BA,
creditcard,bert_fraud,centralized,none,local,kernel,False,1,b2c73bcb3126ccd1,529651a852144c96,n/a (centralized,undefined,undefined,undefined,0.9782,0.9782,undefined,undefined,undefined,undefined,n/a,0,undefined,undefined,undefined,30,undefined,ok,single_client,V14,
creditcard,bert_fraud,centralized,smote,local,kernel,False,1,57a0f0b5c5ad5534,529651a852144c96,n/a (centralized,undefined,undefined,undefined,0.9991,0.9991,undefined,undefined,undefined,undefined,n/a,0,undefined,undefined,undefined,30,undefined,ok,single_client,V4,
creditcard,bert_fraud,dirichlet,none,local,kernel,False,5,b89b50fd907c79e1,529651a852144c96,a74b400c56313f2e,0.9755,0.8333,0.88,0.9974,0.9964,0.9755,0.0116,0.0219,0.0011,0.0015,945,0.978,0.9801,0.9984,30,undefined,ok,clients_differ,V4,
creditcard,bert_fraud,dirichlet,smote,local,kernel,False,5,4b157f2ce23432b4,529651a852144c96,a74b400c56313f2e,0.9538,0.7429,0.808,0.998,0.9969,0.9538,0.014,0.0442,0.0011,0.0015,945,0.9557,0.9475,0.9984,30,undefined,ok,clients_differ,V4,
creditcard,bert_fraud,iid,none,local,kernel,False,5,80fc72203fe341b5,529651a852144c96,7b688054df33b633,0.9929,1.0,1.0,0.9905,0.9862,0.9929,0.003,-0.0024,0.3577,0.3935,945,1.0025,0.9949,0.9967,30,undefined,ok,noise_limited,V4,
creditcard,bert_fraud,iid,smote,local,kernel,False,5,3a8d7592c4d6ed9d,529651a852144c96,7b688054df33b633,0.9603,0.6714,0.736,0.9992,0.9987,0.9603,0.0155,0.0389,0.0011,0.0015,945,0.9611,0.9583,0.9994,30,undefined,ok,clients_differ,V4,
