round,val_auprc,val_f1,val_precision,val_recall,train_loss
1,0.6787822070483103,0.048095558280267375,0.0246483155633032,0.987012987012987,
2,0.6697184295176599,0.044610619306830884,0.022820604174089144,0.9878246753246753,
3,0.6744292304298709,0.04722119913931805,0.024188263330354485,0.9886363636363636,
4,0.6744763858570684,0.04664778815245676,0.023886972879761718,0.989448051948052,
5,0.6721420596899628,0.04523526792340805,0.023146741607169983,0.989448051948052,
6,0.6679819003125695,0.045258780723249424,0.02315905463941029,0.989448051948052,
7,0.6712530859068258,0.04503971919453168,0.023044349502816742,0.989448051948052,
8,0.6748165549870043,0.046308814288706514,0.023710636638393293,0.987012987012987,
9,0.6736162757620816,0.04700343456952109,0.02407400086966834,0.9886363636363636,
10,0.6727482860676954,0.0455182465384831,0.023295400210385387,0.9886363636363636,
11,0.6717471158432454,0.045274602732088096,0.02316778574553478,0.9886363636363636,
12,0.6749813842334603,0.0465534733255489,0.023838930384834048,0.987012987012987,
13,0.6722186146264165,0.045937995021498076,0.023515329369063247,0.9886363636363636,
14,0.6718481020856261,0.04553447824297527,0.023304354486614838,0.9878246753246753,
15,0.6714936959110416,0.04675623800383877,0.02394432649209719,0.9886363636363636,
16,0.6722582259777065,0.045495293590318245,0.023283376663098335,0.9886363636363636,
17,0.6741244139837499,0.04654634538460066,0.023835192190838347,0.987012987012987,
18,0.6714681235640308,0.04582078313253012,0.02345436324390996,0.9878246753246753,
19,0.6727713171338646,0.04556422198529824,0.023319484597269822,0.9886363636363636,
20,0.6710203188220241,0.04548000448078862,0.02327536785782534,0.9886363636363636,
