k,between_mean,within_mean,within_min,within_max
1,1.0,1.0,1.0,1.0
2,0.5864,1.0,1.0,1.0
3,0.8267,1.0,1.0,1.0
4,0.8556,1.0,1.0,1.0
5,0.675,1.0,1.0,1.0
6,0.8762,1.0,1.0,1.0
7,0.8762,1.0,1.0,1.0
8,0.87,1.0,1.0,1.0
9,1.0,1.0,1.0,1.0
10,1.0,1.0,1.0,1.0
11,0.675,0.5273,0.4091,1.0
12,0.7833,0.7833,-0.0833,1.0
13,1.0,1.0,1.0,1.0
