dataset,model,scheme,alpha,oversampling,random_seed,rounds_configured,num_clients,best_round,best_val_auprc,best_val_f1,best_val_precision,best_val_recall,test_auprc,test_f1,test_precision,test_recall,test_brier,test_cal_intercept,test_cal_slope,threshold_policy,threshold,data_hash,partition_hash,rounds_completed,n_iter_selected,n_clients_below_smote_floor,baseline_auprc,timestamp,duration_seconds,run_name
paysim,xgb,centralized,,smote,42,,1,,0.9861732128559264,0.9388254486133768,0.9434426229508196,0.9342532467532468,0.985179462692396,0.9385245901639344,0.9478476821192052,0.9293831168831168,0.000193512652904,-2.5168020104266264,1.4408278701866,val_f1_tuned,0.8652706146240234,dd257865dfff5b8fbbd7db8558d2ffd74b5ca30eb09a013886c52349f35e9fa5,n/a (centralized),,,,0.0012908728374998,2026-07-29T16:22:07Z,4.59,centralized_xgb_smote_seed42
paysim,ffd,centralized,,none,42,,1,,0.7688551406545714,0.7629453681710214,0.9198167239404352,0.6517857142857143,0.7454703873123907,0.7424390243902439,0.930317848410758,0.6176948051948052,0.0005053053009364,-0.0518951508689157,0.9508390255440408,val_f1_tuned,0.3383418023586273,dd257865dfff5b8fbbd7db8558d2ffd74b5ca30eb09a013886c52349f35e9fa5,n/a (centralized),,,,0.0012908728374998,2026-07-28T22:37:29Z,1821.322,centralized_ffd_none_seed42
paysim,gbm,centralized,,none,42,,1,,0.9984416834719338,0.9983739837398374,1.0,0.9967532467532468,0.9964532335098198,0.997560975609756,0.999185667752443,0.9959415584415584,4.735150586742747e-05,-10.19566355976167,0.9120952700387592,val_f1_tuned,1.0,dd257865dfff5b8fbbd7db8558d2ffd74b5ca30eb09a013886c52349f35e9fa5,n/a (centralized),,43.0,,0.0012908728374998,2026-07-29T21:17:09Z,23.759,centralized_gbm_none_seed42
paysim,bert_fraud,centralized,,none,42,,1,,0.8413708245202322,0.8119619392840961,0.918974358974359,0.7272727272727273,0.8301391934103691,0.7908675799086758,0.9039665970772442,0.702922077922078,0.0004334583956452,2.14817550895048,0.9191779528242374,val_f1_tuned,0.0454270429909229,dd257865dfff5b8fbbd7db8558d2ffd74b5ca30eb09a013886c52349f35e9fa5,n/a (centralized),,,,0.0012908728374998,2026-07-29T10:22:48Z,6206.479,centralized_bert_fraud_none_seed42
paysim,lr,centralized,,smote,42,,1,,0.641185985623084,0.6316812439261419,0.7869249394673123,0.5275974025974026,0.6244554894913933,0.6136363636363636,0.7840909090909091,0.5040584415584416,0.0010212333441816,-2.1106347445097877,0.9654442924233309,val_f1_tuned,0.8030883822709789,dd257865dfff5b8fbbd7db8558d2ffd74b5ca30eb09a013886c52349f35e9fa5,n/a (centralized),,,,0.0012908728374998,2026-07-28T18:34:56Z,3.151,centralized_lr_smote_seed42
paysim,svm,centralized,,smote,42,,1,,0.6169052027551521,0.615312353217473,0.7302118171683389,0.5316558441558441,0.5956346273075843,0.5907372400756143,0.7070135746606335,0.5073051948051948,,,,val_f1_tuned,0.038831910010987,dd257865dfff5b8fbbd7db8558d2ffd74b5ca30eb09a013886c52349f35e9fa5,n/a (centralized),,,,0.0012908728374998,2026-07-28T18:38:08Z,10.229,centralized_svm_smote_seed42
paysim,ffd,centralized,,smote,42,,1,,0.8453123050201459,0.803395889186774,0.8936381709741551,0.7297077922077922,0.8250028921176241,0.7837960855712335,0.8922279792746114,0.6988636363636364,0.0005590582073456,-1.6103961484431917,0.9654085301415958,val_f1_tuned,0.7300218343734741,dd257865dfff5b8fbbd7db8558d2ffd74b5ca30eb09a013886c52349f35e9fa5,n/a (centralized),,,,0.0012908728374998,2026-07-28T19:50:44Z,1845.559,centralized_ffd_smote_seed42
paysim,gbm,centralized,,smote,42,,1,,0.9979021020461488,0.9983739837398374,1.0,0.9967532467532468,0.9973041765069532,0.9979666531110208,1.0,0.9959415584415584,1.1444325507166908e-05,-3.4297664006317063,1.776800957079565,val_f1_tuned,0.9469434088962344,dd257865dfff5b8fbbd7db8558d2ffd74b5ca30eb09a013886c52349f35e9fa5,n/a (centralized),,15.0,,0.0012908728374998,2026-07-29T21:06:05Z,25.257,centralized_gbm_smote_seed42
paysim,bert_fraud,centralized,,smote,42,,1,,0.9451798254324332,0.8840764331210191,0.9269813000890472,0.8449675324675324,0.9375844118952372,0.8699397071490095,0.926605504587156,0.8198051948051948,0.0002859016482865,1.8960809009496375,1.2820226015696785,val_f1_tuned,0.1612269878387451,dd257865dfff5b8fbbd7db8558d2ffd74b5ca30eb09a013886c52349f35e9fa5,n/a (centralized),,,,0.0012908728374998,2026-07-29T02:39:13Z,6316.477,centralized_bert_fraud_smote_seed42
paysim,lr,centralized,,none,42,,1,,0.618307108892017,0.6174168297455969,0.7770935960591133,0.5121753246753247,0.6027977900161275,0.598989898989899,0.7927807486631016,0.4813311688311688,0.0007217399034431,-0.0873157003902264,0.996180690670806,val_f1_tuned,0.2824545935866635,dd257865dfff5b8fbbd7db8558d2ffd74b5ca30eb09a013886c52349f35e9fa5,n/a (centralized),,,,0.0012908728374998,2026-07-28T18:36:29Z,2.807,centralized_lr_none_seed42
