dataset,model,condition,arm,explainer,n_clients,manifest_sha256,data_hash,partition_hash,spearman,jaccard_at5,kuncheva,noise_floor,below_floor,top_feature,stability_note
creditcard,gbm,iid,none,tree,5,c7037a68438fadc9,529651a852144c96,7b688054df33b633,0.987,0.6048,0.688,n/a,n/a,V17,
creditcard,xgb,centralized,smote,tree,1,7d448b02c4204c91,529651a852144c96,n/a (centralized,undefined,undefined,undefined,n/a,n/a,V4,fewer than 2 clients
creditcard,svm,iid,none,linear,5,b2b738a96943ba97,529651a852144c96,7b688054df33b633,0.9988,0.8,0.856,n/a,n/a,V4,
creditcard,gbm,iid,smote,tree,5,be19f5f85ca6ff29,529651a852144c96,7b688054df33b633,0.9722,0.7667,0.832,n/a,n/a,V12,
creditcard,lr,iid,none,linear,5,1b6e343cc4737cd2,529651a852144c96,7b688054df33b633,0.9965,1.0,1.0,n/a,n/a,V4,
creditcard,lr,dirichlet,none,linear,5,787168698dde6995,529651a852144c96,a74b400c56313f2e,0.9982,1.0,1.0,n/a,n/a,V4,
creditcard,svm,centralized,smote,linear,1,0552f3ea8fbace37,529651a852144c96,n/a (centralized,n/a,n/a,n/a,n/a,n/a,V10,
creditcard,xgb,centralized,none,tree,1,230936f597b27f31,529651a852144c96,n/a (centralized,undefined,undefined,undefined,n/a,n/a,V14,fewer than 2 clients
creditcard,svm,iid,smote,linear,5,0d35263d5b4320de,529651a852144c96,7b688054df33b633,0.9993,1.0,1.0,n/a,n/a,V4,
creditcard,gbm,dirichlet,none,tree,5,b0d284b6ddb435a0,529651a852144c96,a74b400c56313f2e,0.9287,0.4702,0.544,n/a,n/a,V14,
creditcard,lr,iid,smote,linear,5,04ca2e5922efb90b,529651a852144c96,7b688054df33b633,0.997,1.0,1.0,n/a,n/a,V4,
creditcard,svm,dirichlet,none,linear,5,466eee6b7fcd0889,529651a852144c96,a74b400c56313f2e,0.9975,1.0,1.0,n/a,n/a,V4,
creditcard,lr,dirichlet,smote,linear,5,89586605816551c0,529651a852144c96,a74b400c56313f2e,0.9969,1.0,1.0,n/a,n/a,V4,
creditcard,gbm,centralized,none,tree,1,a300fa18a31e92e1,529651a852144c96,n/a (centralized,undefined,undefined,undefined,n/a,n/a,V14,fewer than 2 clients
creditcard,gbm,dirichlet,smote,tree,5,6076fecf72487661,529651a852144c96,a74b400c56313f2e,0.9887,0.8667,0.904,n/a,n/a,V4,
creditcard,lr,centralized,smote,linear,1,74fe21c3a78e2da6,529651a852144c96,n/a (centralized,n/a,n/a,n/a,n/a,n/a,V4,
creditcard,svm,centralized,none,linear,1,031e807531a97bcf,529651a852144c96,n/a (centralized,n/a,n/a,n/a,n/a,n/a,V10,
