round,val_auprc,val_f1,val_precision,val_recall,train_loss
1,0.7340418696403503,0.7891156673431396,0.7945205569267273,0.7837837934494019,
2,0.7501635551452637,0.7887324094772339,0.8235294222831726,0.7567567825317383,
3,0.7635826468467712,0.7945205569267273,0.8055555820465088,0.7837837934494019,
4,0.7595279812812805,0.7777777910232544,0.800000011920929,0.7567567825317383,
5,0.7653865814208984,0.7808219194412231,0.7916666865348816,0.7702702879905701,
6,0.7620988488197327,0.800000011920929,0.8169013857841492,0.7837837934494019,
7,0.7596070766448975,0.791946291923523,0.7866666913032532,0.7972972989082336,
8,0.755359947681427,0.7972972989082336,0.7972972989082336,0.7972972989082336,
9,0.7589060664176941,0.7945205569267273,0.8055555820465088,0.7837837934494019,
10,0.7666754126548767,0.7862069010734558,0.8028169274330139,0.7702702879905701,
11,0.7645805478096008,0.8055555820465088,0.8285714387893677,0.7837837934494019,
12,0.7597324252128601,0.7945205569267273,0.8055555820465088,0.7837837934494019,
