feature,client_0_s11,client_0_s22,mean
step,0.000887512,0.000887512,0.000887512
amount,0.15616,0.15616,0.15616
oldbalanceOrg,4.78562e-05,4.78562e-05,4.78562e-05
newbalanceOrig,0.189805,0.189805,0.189805
oldbalanceDest,0.0568163,0.0568163,0.0568163
newbalanceDest,0.0641556,0.0641556,0.0641556
errorBalanceOrig,1.01864,1.01864,1.01864
errorBalanceDest,0.0558111,0.0558111,0.0558111
type,1.06266,1.06266,1.06266
