round,val_auprc,val_f1,val_precision,val_recall,train_loss
1,0.13200227916240692,0.20868515968322754,0.20830824971199036,0.20906344056129456,
2,0.1313367486000061,0.20674455165863037,0.16273421049118042,0.28338369727134705,
3,0.13957908749580383,0.21882542967796326,0.19672131538391113,0.24652567505836487,
4,0.1378454864025116,0.2179822325706482,0.1920773833990097,0.25196373462677,
5,0.13499774038791656,0.21484375,0.1802539974451065,0.26586103439331055,
6,0.14274632930755615,0.21204249560832977,0.17403100430965424,0.2712990939617157,
7,0.13391923904418945,0.21339330077171326,0.1819343864917755,0.2580060362815857,
8,0.14254900813102722,0.2145749032497406,0.2057681679725647,0.22416917979717255,
9,0.14073266088962555,0.21321961283683777,0.1907486915588379,0.24169184267520905,
10,0.13355031609535217,0.21013133227825165,0.21775761246681213,0.20302115380764008,
11,0.13196013867855072,0.21152906119823456,0.17753177881240845,0.26163142919540405,
12,0.13141164183616638,0.2151082456111908,0.1737997829914093,0.282175213098526,
13,0.13674752414226532,0.21039237082004547,0.16209150850772858,0.2996978759765625,
14,0.13755887746810913,0.2201080024242401,0.19158460199832916,0.2586102783679962,
15,0.14194369316101074,0.22177879512310028,0.20992983877658844,0.23504531383514404,
16,0.13957200944423676,0.21873247623443604,0.20408163964748383,0.23564954102039337,
