round,val_auprc,val_f1,val_precision,val_recall,train_loss
1,0.09831555187702179,0.18186157941818237,0.15029585361480713,0.23021148145198822,
2,0.12901461124420166,0.21480919420719147,0.18462206423282623,0.25679758191108704,
3,0.12049878388643265,0.20351700484752655,0.166283518075943,0.2622356414794922,
4,0.12984006106853485,0.21465164422988892,0.18630503118038177,0.25317221879959106,
5,0.12689106166362762,0.21084198355674744,0.17052239179611206,0.2761329412460327,
6,0.12911579012870789,0.20657014846801758,0.19153329730033875,0.22416917979717255,
7,0.13060642778873444,0.21292971074581146,0.1850200593471527,0.25075528025627136,
8,0.12723475694656372,0.20767022669315338,0.18273645639419556,0.2404833883047104,
9,0.12929992377758026,0.21011455357074738,0.19542619585990906,0.22719033062458038,
10,0.13441626727581024,0.21142229437828064,0.19375944137573242,0.23262840509414673,
11,0.12639647722244263,0.20737648010253906,0.16829819977283478,0.27009063959121704,
12,0.13963492214679718,0.21246612071990967,0.19262899458408356,0.23685801029205322,
13,0.1333620846271515,0.2122543305158615,0.1719101071357727,0.27734139561653137,
14,0.12436562776565552,0.20124170184135437,0.15583553910255432,0.2839879095554352,
15,0.13058096170425415,0.2091020941734314,0.17634855210781097,0.25679758191108704,
16,0.12012438476085663,0.20664961636066437,0.17915742099285126,0.24410876631736755,
17,0.13841652870178223,0.22129932045936584,0.21736596524715424,0.2253776490688324,
18,0.1247980073094368,0.20372232794761658,0.17449375987052917,0.24471299350261688,
19,0.13331088423728943,0.21202607452869415,0.17658889293670654,0.2652567923069,
20,0.1242484375834465,0.20114345848560333,0.1764705926179886,0.23383685946464539,
21,0.13455569744110107,0.2123754620552063,0.18758684396743774,0.24471299350261688,
22,0.13012433052062988,0.2113994061946869,0.16311125457286835,0.300302118062973,
