feature,client_0_s11,client_0_s22,client_1_s11,client_1_s22,client_2_s11,client_2_s22,client_3_s11,client_3_s22,client_4_s11,client_4_s22,mean
step,4.04207e-05,4.04207e-05,0.000798219,0.000798219,4.04676e-05,4.04676e-05,7.44308e-05,7.44308e-05,3.81239e-05,3.81239e-05,0.000198332
amount,0.00700846,0.00700846,0.0111202,0.0111202,0.00677722,0.00677722,0.00639765,0.00639765,0.00746857,0.00746857,0.00775442
oldbalanceOrg,0.00135769,0.00135769,0.018207,0.018207,0.000658641,0.000658641,0.000796235,0.000796235,0.000594285,0.000594285,0.00432276
newbalanceOrig,0.00738569,0.00738569,0.0591012,0.0591012,0.00751611,0.00751611,0.00529772,0.00529772,0.00631686,0.00631686,0.0171235
oldbalanceDest,0.00191431,0.00191431,0.00357151,0.00357151,0.00159835,0.00159835,0.00161748,0.00161748,0.00210633,0.00210633,0.0021616
newbalanceDest,0.00150569,0.00150569,0.00539253,0.00539253,0.00155918,0.00155918,0.0014216,0.0014216,0.00149417,0.00149417,0.00227463
errorBalanceOrig,0.00643548,0.00643548,0.106714,0.106714,0.00477805,0.00477805,0.00274435,0.00274435,0.00325552,0.00325552,0.0247855
errorBalanceDest,0.00202914,0.00202914,0.0112211,0.0112211,1.54283e-07,1.54283e-07,1.54283e-07,1.54283e-07,0.00440859,0.00440859,0.00353183
type,0.00349093,0.00349093,0.0260133,0.0260133,0.00350084,0.00350084,0.00308359,0.00308359,0.00322932,0.00322932,0.0078636
