feature,client_0,mean
step,0.0405623,0.0405623
amount,0.0766688,0.0766688
oldbalanceOrg,0.0421694,0.0421694
newbalanceOrig,0.374856,0.374856
oldbalanceDest,0.0110167,0.0110167
newbalanceDest,0.0419945,0.0419945
errorBalanceOrig,0.195387,0.195387
errorBalanceDest,0.0841725,0.0841725
type_CASH_IN,0.889967,0.889967
type_CASH_OUT,0.0119462,0.0119462
type_DEBIT,0.0596989,0.0596989
type_PAYMENT,1.92193,1.92193
type_TRANSFER,0.0320414,0.0320414
